iter	Passed	Remaining
0	195	58537
1	230	34313
2	265	26238
3	286	21198
4	324	19127
5	342	16758
6	374	15675
7	410	14988
8	439	14217
9	464	13458
10	488	12839
11	515	12372
12	561	12403
13	620	12684
14	684	12999
15	753	13370
16	804	13395
17	852	13348
18	915	13546
19	961	13455
20	1048	13929
21	1101	13923
22	1128	13590
23	1195	13747
24	1288	14170
25	1349	14218
26	1425	14409
27	1480	14379
28	1532	14320
29	1596	14371
30	1642	14254
31	1699	14231
32	1768	14306
33	1809	14158
34	1834	13891
35	1860	13640
36	1885	13403
37	1927	13290
38	1989	13312
39	2032	13208
40	2098	13256
41	2141	13156
42	2194	13115
43	2252	13107
44	2293	12996
45	2320	12813
46	2342	12612
47	2368	12434
48	2433	12467
49	2492	12461
50	2532	12365
51	2631	12548
52	2679	12488
53	2734	12455
54	2797	12463
55	2830	12331
56	2863	12207
57	2915	12164
58	2955	12074
59	2991	11964
60	3030	11873
61	3086	11847
62	3135	11794
63	3176	11714
64	3233	11689
65	3276	11617
66	3303	11488
67	3375	11514
68	3427	11475
69	3451	11341
70	3476	11214
71	3500	11086
72	3566	11090
73	3616	11045
74	3671	11014
75	3726	10983
76	3760	10889
77	3787	10779
78	3812	10666
79	3890	10698
80	3950	10680
81	3975	10569
82	4028	10531
83	4087	10509
84	4139	10471
85	4210	10476
86	4254	10415
87	4281	10315
88	4352	10319
89	4399	10264
90	4430	10174
91	4515	10209
92	4563	10156
93	4589	10057
94	4642	10018
95	4700	9988
96	4734	9908
97	4769	9830
98	4819	9784
99	4861	9722
100	4901	9658
101	4960	9630
102	5004	9571
103	5039	9496
104	5085	9444
105	5142	9411
106	5179	9343
107	5204	9252
108	5273	9241
109	5315	9181
110	5350	9110
111	5373	9019
112	5444	9010
113	5498	8971
114	5527	8891
115	5575	8843
116	5623	8795
117	5659	8729
118	5684	8646
119	5729	8594
120	5779	8550
121	5809	8476
122	5845	8411
123	5914	8394
124	5956	8339
125	5981	8260
126	6005	8180
127	6100	8197
128	6134	8131
129	6195	8101
130	6240	8050
131	6265	7974
132	6316	7931
133	6370	7891
134	6450	7884
135	6504	7843
136	6555	7799
137	6615	7765
138	6656	7709
139	6682	7636
140	6710	7566
141	6733	7492
142	6752	7413
143	6784	7350
144	6852	7325
145	6866	7242
146	6899	7180
147	6922	7109
148	6968	7062
149	7023	7023
150	7062	6969
151	7085	6898
152	7126	6847
153	7167	6795
154	7216	6750
155	7240	6683
156	7291	6641
157	7345	6601
158	7378	6543
159	7400	6475
160	7447	6429
161	7491	6381
162	7520	6320
163	7549	6260
164	7577	6200
165	7618	6149
166	7659	6099
167	7686	6039
168	7712	5978
169	7756	5931
170	7819	5898
171	7867	5854
172	7929	5820
173	7951	5757
174	7980	5700
175	7997	5634
176	8022	5574
177	8069	5530
178	8117	5487
179	8169	5446
180	8192	5386
181	8254	5351
182	8298	5305
183	8334	5254
184	8375	5206
185	8436	5170
186	8475	5121
187	8502	5065
188	8589	5044
189	8642	5003
190	8663	4944
191	8682	4883
192	8727	4838
193	8773	4793
194	8803	4740
195	8824	4682
196	8857	4630
197	8910	4590
198	8946	4540
199	8974	4487
200	8998	4432
201	9043	4387
202	9088	4342
203	9104	4284
204	9132	4232
205	9198	4197
206	9249	4155
207	9283	4105
208	9336	4065
209	9399	4028
210	9469	3994
211	9531	3956
212	9567	3907
213	9589	3853
214	9608	3798
215	9632	3746
216	9716	3716
217	9759	3671
218	9775	3615
219	9809	3567
220	9872	3529
221	9914	3483
222	9958	3438
223	10013	3397
224	10046	3348
225	10075	3299
226	10114	3252
227	10167	3210
228	10197	3161
229	10247	3118
230	10289	3073
231	10331	3028
232	10366	2980
233	10405	2934
234	10445	2889
235	10489	2844
236	10522	2797
237	10560	2751
238	10609	2707
239	10644	2661
240	10679	2614
241	10698	2564
242	10747	2521
243	10795	2477
244	10821	2429
245	10846	2380
246	10907	2340
247	10952	2296
248	10976	2248
249	11014	2202
250	11064	2160
251	11112	2116
252	11160	2073
253	11211	2030
254	11244	1984
255	11274	1937
256	11327	1895
257	11373	1851
258	11412	1806
259	11459	1763
260	11510	1719
261	11553	1675
262	11654	1639
263	11688	1593
264	11711	1546
265	11731	1499
266	11780	1456
267	11834	1413
268	11877	1368
269	11925	1325
270	11963	1280
271	11994	1234
272	12012	1188
273	12031	1141
274	12049	1095
275	12095	1051
276	12152	1009
277	12190	964
278	12210	919
279	12257	875
280	12316	832
281	12346	788
282	12371	743
283	12411	699
284	12453	655
285	12487	611
286	12519	567
287	12553	523
288	12611	480
289	12649	436
290	12678	392
291	12727	348
292	12798	305
293	12829	261
294	12863	218
295	12906	174
296	12946	130
297	12976	87
298	12993	43
299	13035	0
