feature,importance
path_length,0.305707720174666
url_length,0.11164294472577412
num_dots,0.08502448087568507
entropy,0.05713513753608676
num_subdomains,0.03762788351141946
query_length,0.03381076570514842
num_special_chars,0.02986363243251799
domain_length,0.028121045734202228
tld_length,0.02425002305209724
num_digits,0.01819536677808412
num_hyphens,0.004291488054526902
has_https,0.004068745590424499
brand_keyword_count,0.00031861228212281254
suspicious_keyword_count,0.00022587149325230127
has_ip_address,0.00020000295497008967
has_url_encoding,2.6865185951205098e-05
has_at_symbol,1.6423407188773644e-05
domain_age_days,0.0
has_whois_record,0.0
registrar_known,0.0
is_free_domain,0.0
tld_risk_score,0.0
dns_exists,0.0
a_record_count,0.0
mx_record_exists,0.0
nameserver_count,0.0
ssl_valid,0.0
certificate_age_days,0.0
certificate_expiry_days,0.0
issuer_known,0.0
tls_version_score,0.0
